# 猫耳版を用意するアイコン名（Material Symbols の名前）と一行説明。設計書 §8。
# 形式: <name> <説明>。# で始まる行は無視。T1（icons/src/<name>.svg）が無ければ T2（自動耳）、Material Symbols に無ければ status.json に missing として記録される。

# --- 基本操作 ---
search 検索
home ホーム
settings 設定
person ユーザー
group グループ・複数ユーザー
notifications 通知
delete 削除（ゴミ箱）
edit 編集（鉛筆）
add 追加
remove 除去
close 閉じる
check チェック
check_circle 完了（丸）
cancel 取り消し（丸×）
error エラー
warning 注意
info 情報
help ヘルプ
done 完了
done_all 全完了
block ブロック
report 報告
pending 保留
hourglass_empty 待機
schedule 時刻
history 履歴
update 更新
refresh 再読み込み
sync 同期
autorenew 自動更新
published_with_changes 変更を公開

# --- 矢印・移動（耳なし） ---
arrow_back 戻る
arrow_forward 進む
arrow_upward 上へ
arrow_downward 下へ
arrow_drop_down ドロップダウン
arrow_drop_up ドロップアップ
chevron_left 左シェブロン
chevron_right 右シェブロン
expand_more 展開
expand_less 折りたたみ
unfold_more 展開（縦）
unfold_less 折りたたみ（縦）
keyboard_arrow_left 左
keyboard_arrow_right 右
keyboard_arrow_up 上
keyboard_arrow_down 下
first_page 先頭ページ
last_page 最終ページ
north 北
south 南
east 東
west 西
subdirectory_arrow_right 子項目
call_made 発信
call_received 受信
launch 起動
open_in_new 新しいタブで開く
exit_to_app アプリを出る
login ログイン
logout ログアウト
input 入力
output 出力
undo 元に戻す
redo やり直す

# --- 一覧・整理 ---
menu メニュー
more_vert 縦の三点
more_horiz 横の三点
filter_list 絞り込み
filter_alt フィルタ
sort 並べ替え
swap_vert 縦入れ替え
swap_horiz 横入れ替え
drag_indicator ドラッグハンドル
drag_handle ドラッグバー
reorder 並び替え
list リスト
view_list 一覧表示
view_module タイル表示
grid_view グリッド
apps アプリ一覧
widgets ウィジェット
dashboard ダッシュボード
table_chart 表
format_list_bulleted 箇条書き
checklist チェックリスト
task タスク
task_alt タスク完了
assignment 割り当て
assignment_turned_in 提出済み
inventory 在庫
inventory_2 在庫箱
category カテゴリ
label ラベル
flag フラグ
push_pin ピン留め
bookmark ブックマーク
bookmarks ブックマーク一覧
bookmark_add ブックマーク追加
star 星
star_half 半星
favorite お気に入り（ハート）
thumb_up 高評価
thumb_down 低評価

# --- ファイル・データ ---
folder フォルダ
folder_open 開いたフォルダ
create_new_folder フォルダ作成
description 書類
article 記事
insert_drive_file ファイル
note_add ファイル追加
file_open ファイルを開く
attach_file 添付
content_copy コピー
content_paste 貼り付け
content_cut 切り取り
save 保存
print 印刷
download ダウンロード
upload アップロード
file_download ダウンロード（ファイル）
